cell,model,method,configuration,feature_groups,feature_count,n,threshold,unsafe_acceptance_count,unsafe_acceptance_rate,wilson_upper,risk_limit_met,dense_avoidance_rate,dense_fallback_rate,mean_selected_visual_tokens,median_selected_visual_tokens
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,1200,0.9253114120806553,47,0.03916666666666667,0.04946244185271895,True,0.99,0.010000000000000009,401.4,432.0
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,1200,0.937811360857367,38,0.03166666666666667,0.04109217129050464,True,0.9833333333333333,0.01666666666666672,417.4266666666667,432.0
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,1200,0.9635362261233255,47,0.03916666666666667,0.04946244185271895,True,0.775,0.22499999999999998,396.2,432.0
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,1200,0.9635754377383884,32,0.02666666666666667,0.03544650464154142,True,1.0,0.0,432.0,432.0
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,1200,0.9555806906293199,47,0.03916666666666667,0.04946244185271895,True,0.6708333333333333,0.3291666666666667,451.32,432.0
13b_scope,13b,scope,A1_structure_only,question_structure,4,1200,0.9676012467658597,32,0.02666666666666667,0.03544650464154142,True,0.16666666666666666,0.8333333333333334,552.0,576.0
13b_scope,13b,scope,A2_task_only,task_source,6,1200,0.9520612789112457,22,0.018333333333333333,0.025871294267058618,True,0.5,0.5,435.4,504.0
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,1200,0.905257420796211,23,0.019166666666666665,0.02684073776514084,True,0.2275,0.7725,513.2133333333334,576.0
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,1200,0.9235525273562549,46,0.03833333333333333,0.04853733375261291,True,0.37583333333333335,0.6241666666666666,517.8533333333334,576.0
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,1200,0.9553707523882609,45,0.0375,0.04761108701222416,True,0.6666666666666666,0.33333333333333337,446.12,432.0
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,1200,0.926841257519755,32,0.02666666666666667,0.03544650464154142,True,0.16833333333333333,0.8316666666666667,551.76,576.0
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,1200,0.956347849277127,47,0.03916666666666667,0.04946244185271895,True,0.6925,0.3075,431.97333333333336,432.0
13b_random,13b,random,A1_structure_only,question_structure,4,1200,0.9368925932242962,29,0.024166666666666666,0.03259887291632405,True,0.345,0.655,526.32,576.0
13b_random,13b,random,A2_task_only,task_source,6,1200,0.9570805750867171,47,0.03916666666666667,0.04946244185271895,True,0.6666666666666666,0.33333333333333337,431.16,432.0
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,1200,0.9232238178582082,41,0.034166666666666665,0.0438939608489706,True,0.45,0.55,508.3466666666667,576.0
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,1200,0.9273345386647521,41,0.034166666666666665,0.0438939608489706,True,0.4525,0.5475,509.0133333333333,576.0
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,1200,0.957962566101137,46,0.03833333333333333,0.04853733375261291,True,0.6666666666666666,0.33333333333333337,431.0133333333333,432.0
13b_random,13b,random,A6_intercept_only,intercept_only,0,1200,0.9428834505347818,45,0.0375,0.04761108701222416,True,0.3358333333333333,0.6641666666666667,527.64,576.0
