cell,model,method,configuration,feature_groups,feature_count,budget,auroc,brier,log_loss
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,432,0.4684627757352941,0.09432437984180148,0.35092552514035896
7b_scope,7b,scope,A1_structure_only,question_structure,4,64,0.2996203628210355,0.22500617043686874,0.6728057051186298
7b_scope,7b,scope,A1_structure_only,question_structure,4,128,0.4184703842371331,0.17804058913219356,0.5681614906494837
7b_scope,7b,scope,A1_structure_only,question_structure,4,256,0.32086162084649683,0.1365059257917202,0.47461505774523083
7b_scope,7b,scope,A1_structure_only,question_structure,4,432,0.29119206276260506,0.09145799138034891,0.3574245703253824
7b_scope,7b,scope,A2_task_only,task_source,6,64,0.6296462786092831,0.1897664288434262,0.5659035236872298
7b_scope,7b,scope,A2_task_only,task_source,6,128,0.664961438258079,0.15751064324102093,0.48976854025266836
7b_scope,7b,scope,A2_task_only,task_source,6,256,0.5276265376083887,0.13231962741797865,0.4394879570756443
7b_scope,7b,scope,A2_task_only,task_source,6,432,0.5120962447478992,0.09298835601576859,0.34159294991625144
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,64,0.3491479092656223,0.24595836446262406,0.6925965628134221
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,128,0.36165220241895135,0.18327730033576148,0.5610211680922625
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,256,0.3190999529475029,0.15059402044734851,0.49157317993697563
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,432,0.31343553046218486,0.09243670910125347,0.34727915872014187
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,64,0.27465639741424497,0.27696048949153823,0.7866156766515339
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,128,0.30928759985507,0.19587256907280567,0.612173071939283
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,256,0.2983660460218234,0.1588100690312235,0.5343281339245242
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,432,0.2880120798319328,0.09785881130972891,0.3774209720320823
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,64,0.62291072156543,0.1929189059019789,0.5796351654555403
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,128,0.6449214099622147,0.1601361288550257,0.5030994144806223
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,256,0.514236181129708,0.134073457828951,0.45181057043482525
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,432,0.5040088300945378,0.09380145064236575,0.3498912709503584
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,64,0.265554932735426,0.21275019185230395,0.6263428184272387
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,128,0.28465380700150106,0.17432997731465238,0.5422822056788229
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,256,0.26984046962873337,0.13292691758621145,0.4478972911784174
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,432,0.26428325236344535,0.08880532416189636,0.33568562375988337
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,64,0.5054856530266366,0.25816961138458905,0.7195923880010358
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,128,0.5471318279134911,0.19158720278294744,0.5806681691780861
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,256,0.5141022030032418,0.13702513920454937,0.45939531115216814
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,432,0.631816077417315,0.06114491243933624,0.2387903593251587
7b_random,7b,random,A1_structure_only,question_structure,4,64,0.2925955303004483,0.27371244464049294,0.7544897453678658
7b_random,7b,random,A1_structure_only,question_structure,4,128,0.3598620010609432,0.2028737547833551,0.6152022289219791
7b_random,7b,random,A1_structure_only,question_structure,4,256,0.2864263189577569,0.14066594402936494,0.48730709485376594
7b_random,7b,random,A1_structure_only,question_structure,4,432,0.5090335256721508,0.06224039709570956,0.25013467038740395
7b_random,7b,random,A2_task_only,task_source,6,64,0.4940031169539366,0.2533970218092876,0.7050942905446373
7b_random,7b,random,A2_task_only,task_source,6,128,0.5519461437768813,0.18761669406855758,0.5663204222882405
7b_random,7b,random,A2_task_only,task_source,6,256,0.5365547216285325,0.13483949167025697,0.4477606995419809
7b_random,7b,random,A2_task_only,task_source,6,432,0.6225510676498154,0.0608842431516567,0.23705610490437684
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,64,0.3465674777150187,0.2540475037458406,0.7052674423326185
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,128,0.36397792627589864,0.21899127078187652,0.6349280486971355
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,256,0.4065615145440186,0.13753901987683548,0.45876142527137015
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,432,0.5173217854763491,0.06167532550083934,0.2435763076511062
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,64,0.29655214081443587,0.2889197748549675,0.7881696371877861
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,128,0.3300220202953086,0.23534262514296928,0.6850268737343819
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,256,0.3024946015651319,0.1476376784257007,0.5024678728091395
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,432,0.49034541943788884,0.06200650561978151,0.24715828325491462
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,64,0.4978203010989896,0.25689663030442994,0.7148209338543483
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,128,0.546425804580374,0.18940474905866542,0.5742432499106445
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,256,0.49668914403742176,0.1368124928404081,0.4608042126382458
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,432,0.6176052123443129,0.061080949142968695,0.2393526647302466
7b_random,7b,random,A6_intercept_only,intercept_only,0,64,0.2735576342133719,0.251015416964612,0.7002350084193153
7b_random,7b,random,A6_intercept_only,intercept_only,0,128,0.2969763119630883,0.19665791429467191,0.5892809184189238
7b_random,7b,random,A6_intercept_only,intercept_only,0,256,0.2652799178222907,0.1349547138241025,0.4540351228793147
7b_random,7b,random,A6_intercept_only,intercept_only,0,432,0.3511387888300455,0.06247542548047325,0.2500337236532795
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,64,0.542296880441813,0.28852088819520993,0.8203710972116136
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,128,0.5508224387289826,0.24005743571375035,0.7107605210562986
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,256,0.6206839032527106,0.08309904824204462,0.3052982352553544
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,432,0.5695366010273972,0.025873923102122873,0.12150250095550613
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,64,0.3555680630877158,0.25220519198717883,0.7075111445692384
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,128,0.45377511399259046,0.16107036140831346,0.5095934513782893
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,256,0.5304712260216847,0.08354993387180158,0.3096515742980039
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,432,0.3969927226027397,0.02619055133202875,0.1279340403717471
13b_fastv,13b,fastv,A2_task_only,task_source,6,64,0.5187851385641077,0.28617189541080906,0.8132895017968235
13b_fastv,13b,fastv,A2_task_only,task_source,6,128,0.5418677864063836,0.23531017129355944,0.6918514072091345
13b_fastv,13b,fastv,A2_task_only,task_source,6,256,0.6150583819849875,0.08281935417590734,0.3048778892719181
13b_fastv,13b,fastv,A2_task_only,task_source,6,432,0.6896805436643836,0.025845454664844707,0.12051559487332521
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,64,0.46551911786656053,0.24488896368742735,0.6847793794487936
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,128,0.4655350527215731,0.1767432227287051,0.5413747464245172
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,256,0.4602752293577982,0.08803202659864379,0.3262540660564873
13b_fastv,13b,fastv,A3_keywords_only,semantic_keywords,7,432,0.4561750856164384,0.026095257440718382,0.12534795861906484
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,64,0.3677406214239514,0.2698732612675746,0.7478512629345243
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,128,0.4147304253348532,0.182451266466636,0.5604860295323503
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,256,0.4388907422852377,0.08723226029916852,0.3248403388663745
13b_fastv,13b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,432,0.4244702482876712,0.026178983337736026,0.1274289232943273
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,64,0.5447861212000598,0.2861479987654642,0.8161924789156838
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,128,0.5541108577942434,0.2362300936764051,0.6955074139823062
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,256,0.6270767306088407,0.08241167228223685,0.30288409150869344
13b_fastv,13b,fastv,A5_full_minus_keywords,question_structure+task_source,10,432,0.5632758989726028,0.02590432856224453,0.12194391134259543
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,64,0.3311840763222051,0.23967290577481065,0.676970376552242
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,128,0.38790209105158163,0.1593746220248573,0.502153679847062
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,256,0.3857089241034195,0.08413552377041464,0.3114910824536457
13b_fastv,13b,fastv,A6_intercept_only,intercept_only,0,432,0.3121655607876712,0.02617272057978175,0.12679692219934563
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,64,0.5147863022912371,0.2644732546514219,0.7798332734037801
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,128,0.5357218575712079,0.239593693344522,0.7166300590908136
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,256,0.6819090413943355,0.1268363335183549,0.4180977364487484
13b_scope,13b,scope,A0_full,question_structure+task_source+semantic_keywords,17,432,0.7223874755381605,0.07815927917645857,0.28365038228796363
13b_scope,13b,scope,A1_structure_only,question_structure,4,64,0.40111271950987704,0.21115903873671088,0.6340244465585128
13b_scope,13b,scope,A1_structure_only,question_structure,4,128,0.3971265884674129,0.17665157398157713,0.5651404864135051
13b_scope,13b,scope,A1_structure_only,question_structure,4,256,0.49329520697167756,0.13491705476350596,0.4643571767936885
13b_scope,13b,scope,A1_structure_only,question_structure,4,432,0.5701326375298978,0.08025451080491135,0.305582010744391
13b_scope,13b,scope,A2_task_only,task_source,6,64,0.5226327294527058,0.25762718578117777,0.7542982514501214
13b_scope,13b,scope,A2_task_only,task_source,6,128,0.5181118817578823,0.23737080486186404,0.7082438786434285
13b_scope,13b,scope,A2_task_only,task_source,6,256,0.6816285403050109,0.12482278619653613,0.41080069506531997
13b_scope,13b,scope,A2_task_only,task_source,6,432,0.7217090671885192,0.07713979152393802,0.27714753478497045
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,64,0.4110244769048559,0.21991163102472347,0.6345487032953949
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,128,0.47683444459347785,0.1741782416313886,0.5357346196527141
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,256,0.49983932461873637,0.13130127288082694,0.43341906155626275
13b_scope,13b,scope,A3_keywords_only,semantic_keywords,7,432,0.5711459012828876,0.07993916543203225,0.2966948683104128
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,64,0.33376833209047974,0.23937979139975937,0.6957240865750188
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,128,0.370495285978219,0.18649881320508846,0.5823761841176234
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,256,0.4465604575163399,0.1362051454325637,0.45976212963243235
13b_scope,13b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,432,0.5554990215264188,0.08018323227198124,0.3013674987159295
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,64,0.5298869734321767,0.26045214823875495,0.7655812993528106
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,128,0.5166018371488281,0.23985756732828387,0.7209194175506577
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,256,0.6903213507625272,0.12583774025641112,0.4191298669130709
13b_scope,13b,scope,A5_full_minus_keywords,question_structure+task_source,10,432,0.7189997825614264,0.0778480366386082,0.28401970024049317
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,64,0.30108311035077717,0.20432293245150293,0.6052410706381564
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,128,0.287148611754118,0.17211901590167364,0.5370327008310584
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,256,0.304281045751634,0.13423520795761093,0.44819384768804693
13b_scope,13b,scope,A6_intercept_only,intercept_only,0,432,0.3189475973037617,0.08219781565330295,0.3100890957274113
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,64,0.5465384615384615,0.23789005736244004,0.6756374861781711
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,128,0.5974088526477793,0.18821065379375182,0.5735577627185867
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,256,0.6814871307078815,0.12069328164830294,0.4022507607240262
13b_random,13b,random,A0_full,question_structure+task_source+semantic_keywords,17,432,0.7005408316164076,0.05846900503940927,0.22777597891878568
13b_random,13b,random,A1_structure_only,question_structure,4,64,0.3671779044001266,0.23986086835332562,0.6780830377789393
13b_random,13b,random,A1_structure_only,question_structure,4,128,0.498991537190829,0.1905905228678252,0.5754084532449317
13b_random,13b,random,A1_structure_only,question_structure,4,256,0.5470335620331962,0.12472727626675217,0.4255605377292407
13b_random,13b,random,A1_structure_only,question_structure,4,432,0.45827285072110885,0.060456114509617485,0.248431264452375
13b_random,13b,random,A2_task_only,task_source,6,64,0.5368597657486547,0.2355320706931181,0.6695458209513906
13b_random,13b,random,A2_task_only,task_source,6,128,0.5776949098968583,0.18501706935198034,0.5621936495087431
13b_random,13b,random,A2_task_only,task_source,6,256,0.684717821141323,0.11861697531079769,0.39192135896900926
13b_random,13b,random,A2_task_only,task_source,6,432,0.6733704813635513,0.05870845213554927,0.2297586159903327
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,64,0.39417378917378915,0.24314529520819694,0.6831192431140395
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,128,0.5048861528272707,0.18726981015790994,0.5632926664812817
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,256,0.46607775044886335,0.1279273588050667,0.4281334738379717
13b_random,13b,random,A3_keywords_only,semantic_keywords,7,432,0.5811071829930698,0.059099036766388044,0.2338407241442595
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,64,0.36867363089585314,0.256177950618611,0.7140024479998385
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,128,0.4621600671305094,0.19307236164956926,0.5824872979605752
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,256,0.49927956729010364,0.12787280009942636,0.43476462857341414
13b_random,13b,random,A4_full_minus_task,question_structure+semantic_keywords,11,432,0.5121921239932572,0.05958318854508338,0.23930001886161975
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,64,0.5473646723646723,0.23586888529263617,0.6700962675199262
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,128,0.5783835244270012,0.18642704891115616,0.5670069648326549
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,256,0.6840621148077064,0.1197447027766111,0.39886200686285767
13b_random,13b,random,A5_full_minus_keywords,question_structure+task_source,10,432,0.6692849784603858,0.05896171703987788,0.23322087412392367
13b_random,13b,random,A6_intercept_only,intercept_only,0,64,0.3466650838873061,0.23107884818096588,0.6569539810341889
13b_random,13b,random,A6_intercept_only,intercept_only,0,128,0.37849152025768484,0.18992680104967846,0.5701546695158832
13b_random,13b,random,A6_intercept_only,intercept_only,0,256,0.3464211942297843,0.12768830619235894,0.42867295974107067
13b_random,13b,random,A6_intercept_only,intercept_only,0,432,0.3161699288256228,0.06054313699415959,0.24568715996215484
