run_id,family,nvidia_summary,measurement_tier,duration_s,duration_h,mean_power_w,max_power_w,mean_gpu_utilization_pct,max_memory_used_mb,measured_gpu_energy_kwh,codecarbon_available,codecarbon_path,codecarbon_energy_kwh,codecarbon_gpu_energy_kwh,codecarbon_cpu_energy_kwh,codecarbon_ram_energy_kwh,codecarbon_emissions_kgco2e_pue1,codecarbon_country,codecarbon_region,codecarbon_version,facility_gpu_energy_kwh_central,gpu_emissions_kgco2e_low,gpu_emissions_kgco2e_central,gpu_emissions_kgco2e_high,cloud_cost_usd_runtime_proxy
b60b9c8e0be49f3e,phase_b_controller_execution,results/prospective900_execution_llava15_7b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,207.150817155838,0.05754189365439945,195.53456038647343,384.16,30.771980676328504,16703.0,0.011251428879518202,True,results/prospective900_execution_llava15_7b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.017835540289417202,0.011273444574271707,0.0034662032097791205,0.003095892505366354,0.0005209190192445063,Iceland,capital region,3.2.9,0.013501714655421842,0.00018564857651205035,0.00044326129213749906,0.0012601600345060384,0.1150837873087989
550dc43e29087bbe,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,86.5694785118103,0.02404707736439175,67.995103926097,373.67,4.466512702078522,15375.0,0.0016350835245107118,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.004408084468546526,0.0016504432649071532,0.0014544950575225949,0.0013031461461167782,0.00014937270114967534,Iceland,capital region,3.2.9,0.001962100229412854,2.6978878154426747e-05,6.4415750531624e-05,0.00018312935474519972,0.0480941547287835
f647f4e89a542546,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_002/nvidia_smi_summary.json,tier1_direct_gpu,80.9278769493103,0.02247996581925286,52.710123762376234,287.84,1.4084158415841583,28921.0,0.0011849217805068057,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_002/codecarbon/emissions.csv,0.003772386372165422,0.0012036137406994385,0.0013567675464056107,0.0012120050850603734,0.00013154336508485617,Iceland,capital region,3.2.9,0.0014219061366081667,1.9551209378362297e-05,4.6681178464846114e-05,0.00013271123941676222,0.04495993163850572
f92963e146d9e381,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_003/nvidia_smi_summary.json,tier1_direct_gpu,22.229460954666138,0.006174850265185038,67.25108108108108,318.05,5.747747747747748,28917.0,0.00041526535584749405,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_003/codecarbon/emissions.csv,0.0011404411501689498,0.0004289511765591669,0.00037539554040085546,0.0003360944332089275,6.076792748849991e-05,Iceland,capital region,3.2.9,0.0004983184270169928,6.851878371483652e-06,1.6359793958967873e-05,4.650971985491933e-05,0.012349700530370076
e90d71151cf1eb53,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_004/nvidia_smi_summary.json,tier1_direct_gpu,20.84906530380249,0.005791407028834025,69.91685714285715,263.01,5.190476190476191,28917.0,0.00040491697789112735,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_004/codecarbon/emissions.csv,0.0010827777921725852,0.0004147819984154921,0.0003522304524603007,0.00031576534129679207,6.05474156791967e-05,Iceland,capital region,3.2.9,0.0004859003734693528,6.681130135203601e-06,1.595210926099885e-05,4.535070152380626e-05,0.01158281405766805
3dbf9e908a512b9b,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_005/nvidia_smi_summary.json,tier1_direct_gpu,22.522311210632324,0.006256197558508979,78.60911504424779,304.27,6.300884955752212,28917.0,0.0004917941536163744,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_005/codecarbon/emissions.csv,0.0012686576731035211,0.0005232659741523094,0.00039335573010736423,0.00035203596884384754,6.544333897408169e-05,Iceland,capital region,3.2.9,0.0005901529843396493,8.114603534670178e-06,1.9374722475870685e-05,5.508094520503394e-05,0.012512395117017959
4fb67eabae11a407,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_006/nvidia_smi_summary.json,tier1_direct_gpu,23.70777130126953,0.006585492028130425,80.9053781512605,296.49,6.554621848739496,28921.0,0.0005328017228480036,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_006/codecarbon/emissions.csv,0.0013034289628625182,0.0005454082140659011,0.00039973625204779733,0.0003582844967488201,6.626224944638504e-05,Iceland,capital region,3.2.9,0.0006393620674176044,8.79122842699206e-06,2.099025667331995e-05,5.967379295897641e-05,0.01317098405626085
58c3de1ecdeefa6a,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_007/nvidia_smi_summary.json,tier1_direct_gpu,21.61743140220642,0.00600484205616845,73.15212962962963,342.4,5.9907407407407405,28917.0,0.00043926698449828623,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_007/codecarbon/emissions.csv,0.0011457719038518264,0.00045445175248914893,0.00036487214161280305,0.00032644800974987453,6.284088420256772e-05,Iceland,capital region,3.2.9,0.0005271203813979435,7.247905244221722e-06,1.7305362121294483e-05,4.9197902263808057e-05,0.0120096841123369
0afcd79d61644a5b,phase_b_controller_execution,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_008/nvidia_smi_summary.json,tier1_direct_gpu,129.54250478744507,0.03598402910762363,241.6585648148148,401.65,42.251543209876544,16961.0,0.008695848830402848,True,results/prospective900_execution_llava15_7b_scope/telemetry_attempts/attempt_008/codecarbon/emissions.csv,0.01285871748630243,0.008742490605186504,0.0021746293580878913,0.0019415975230280312,0.00038367321057156855,Iceland,capital region,3.2.9,0.010435018596483417,0.000143481505701647,0.00034258166052255056,0.000973935069005119,0.07196805821524727
77a7821d9a759484,phase_b_evaluation_grid,results/prospective900_llava15_13b_fastv/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,4770.243468284607,1.3250676300790576,311.47042534430636,560.97,52.75701209271078,45826.0,0.41271937835069605,True,results/prospective900_llava15_13b_fastv/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.5638521321944344,0.4129180081120012,0.07969877211531577,0.07123535196712247,0.015634699188620874,Iceland,capital region,3.2.9,0.49526325402083526,0.006809869742786486,0.016259492629504022,0.04622457037527796,2.650135260158115
02c755afe13dc586,phase_b_evaluation_grid,results/prospective900_llava15_13b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,3550.2191095352173,0.9861719748708937,329.63247419191066,467.65,57.8135612342754,30526.0,0.32507430805541543,True,results/prospective900_llava15_13b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.4379238047139289,0.32551958819328775,0.05939473058446772,0.05300948593617417,0.012148779140655729,Iceland,capital region,3.2.9,0.3900891696664985,0.005363726082914355,0.012806627440151144,0.036408322502206526,1.9723439497417874
15dcae2f5a3a0106,phase_b_evaluation_grid,results/prospective900_llava15_13b_scope/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,3965.157270669937,1.1014325751860936,272.6063951490652,467.86,51.37200606366852,31380.0,0.3002575638212327,True,results/prospective900_llava15_13b_scope/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.42608952199453803,0.3003661583483108,0.06651126141802029,0.05921210222820757,0.011821713183311575,Iceland,capital region,3.2.9,0.3603090765854792,0.00495424980305034,0.011828946984301283,0.033628847147978064,2.202865150372187
c378be8b27fcb731,phase_b_evaluation_grid,results/prospective900_llava15_7b_fastv/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,3175.870190382004,0.882186163995001,256.96094534898396,424.11,43.7312886532879,27060.0,0.22668739067394927,True,results/prospective900_llava15_7b_fastv/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.32782912312879353,0.22708125055373785,0.05334063288763284,0.04740723968742419,0.009101533582559808,Iceland,capital region,3.2.9,0.2720248688087391,0.003740341946120163,0.008930576442990903,0.025388987755482317,1.764372327990002
df2ac935cc61025b,phase_b_evaluation_grid,results/prospective900_llava15_7b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,2683.623994588852,0.7454511096080144,256.4355305970149,424.78,41.77679104477612,17262.0,0.19116015082646473,True,results/prospective900_llava15_7b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.27647974018802524,0.19129399525729696,0.0451086247648757,0.040077120165852895,0.007680190030871972,Iceland,capital region,3.2.9,0.22939218099175768,0.003154142488636668,0.007530945301959404,0.021409936892564048,1.4909022192160288
6326e0cabba3c072,phase_b_evaluation_grid,results/prospective900_llava15_7b_scope/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,2771.600196838379,0.7698889435662164,234.8356189030999,383.57,43.71406893561674,17520.0,0.18079734654902618,True,results/prospective900_llava15_7b_scope/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.26842538202488814,0.18057029806720948,0.046461277007890364,0.041393806949788704,0.007457004384984003,Iceland,capital region,3.2.9,0.21695681585883142,0.0029831562180589323,0.007122692264645435,0.020249302813490935,1.5397778871324328
a502e1d42de5ffb1,replication_210x3,results/replication210x3/draw_2101/13b_dense/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,150.30152487754822,0.041750423577096726,152.52625,455.76,20.01595744680851,28339.0,0.00636803554412615,True,results/replication210x3/draw_2101/13b_dense/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.011268868228178342,0.006349020634767832,0.0026696040784449544,0.002250243514965551,0.0003401527040799583,Iceland,capital region,3.2.9,0.007641642652951379,0.00010507258647808147,0.00025087512829639376,0.0007132199809421287,0.08350084715419345
dbf801ba6f420540,replication_210x3,results/replication210x3/draw_2101/13b_fastv/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,162.73989987373352,0.045205527742703755,144.9500122850123,439.31,17.866093366093367,33967.0,0.006552541801655373,True,results/replication210x3/draw_2101/13b_fastv/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.01174096722746771,0.006533016893075949,0.0027704556981078066,0.0024374946362839545,0.0003546055395312485,Iceland,capital region,3.2.9,0.007863050161986448,0.00010811693972731367,0.0002581439368180151,0.0007338846817854019,0.09041105548540751
3db235a7207b3275,replication_210x3,results/replication210x3/draw_2101/13b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,183.5480353832245,0.05098556538422903,132.8784296619411,456.04,15.7546346782988,28341.0,0.006774881863682576,True,results/replication210x3/draw_2101/13b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.012677697081022227,0.00678203487006801,0.003149349207358646,0.0027463130035955694,0.0003787122855034188,Iceland,capital region,3.2.9,0.008129858236419091,0.0001117855507507625,0.00026690324590163876,0.0007587867687324485,0.10197113076845805
7a5d3245fd92f2cc,replication_210x3,results/replication210x3/draw_2101/13b_scope/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,138.78252506256104,0.03855070140626696,147.69357864357863,454.86,19.292929292929294,28499.0,0.005693691049911606,True,results/replication210x3/draw_2101/13b_scope/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.010098990909540879,0.005691684831121924,0.002329711738574512,0.002077594339844437,0.0003083153436302465,Iceland,capital region,3.2.9,0.006832429259893927,9.39459023235415e-05,0.0002243086526023176,0.0006376933975900999,0.07710140281253391
b61b6287e3ded7b1,replication_210x3,results/replication210x3/draw_2101/7b_dense/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,86.94358205795288,0.024150995016098024,133.25514942528736,447.64,18.282758620689656,15999.0,0.003218244449639512,True,results/replication210x3/draw_2101/7b_dense/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.00616374980480192,0.00322723424845206,0.0016336236666236977,0.001302891889726161,0.00020162279221439862,Iceland,capital region,3.2.9,0.0038618933395674145,5.3101033419051955e-05,0.0001267859583379982,0.0003604433783596253,0.04830199003219605
29ba532bd424c66d,replication_210x3,results/replication210x3/draw_2101/7b_fastv/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,51.18721079826355,0.01421866966618432,190.8428125,496.55,30.42578125,20775.0,0.002713530909103052,True,results/replication210x3/draw_2101/7b_fastv/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.004327242867527619,0.0026804671443719785,0.0008787234352424068,0.0007680522879132329,0.00014832777312361148,Iceland,capital region,3.2.9,0.003256237090923662,4.477326000020036e-05,0.00010690226369502383,0.0003039154618195418,0.02843733933236864
5f1142a204346fdc,replication_210x3,results/replication210x3/draw_2101/7b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,103.68741536140442,0.028802059822612337,116.83797687861271,490.18,15.142581888246628,16001.0,0.0033651743996108,True,results/replication210x3/draw_2101/7b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.0067349141886637485,0.0034060166136999914,0.001776919879823746,0.0015519776951400121,0.0002162792508392133,Iceland,capital region,3.2.9,0.00403820927953296,5.5525377593578205e-05,0.00013257441064706707,0.0003768995327564096,0.057604119645224675
36283822e87827a4,replication_210x3,results/replication210x3/draw_2101/7b_scope/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,81.62025737762451,0.02267229371600681,135.24870098039216,532.66,17.862745098039216,15779.0,0.0030663982733358294,True,results/replication210x3/draw_2101/7b_scope/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.005560894630825936,0.0029691495975400217,0.0013688702441707575,0.0012228747891151576,0.00018240474673027017,Iceland,capital region,3.2.9,0.003679677928002995,5.059557151004119e-05,0.00012080382637633832,0.0003434366066136128,0.04534458743201362
