accuracy,dimension,energy_reduction_vs_dense,mean_gpu_energy_joule,mean_latency_ms,method,model,n,supported_correct_rate,unsafe_acceptance_rate,value
1.0,dataset,0.15273836199883184,49.877872760363985,173.76763112371833,scope,13b,105,0.9333333333333333,0.02857142857142857,visual_counterfact_color
0.8380952380952381,dataset,0.00763760326801477,67.08905342958087,170.38813275271207,scope,13b,105,0.8095238095238095,0.0,visual_counterfact_size
0.7416666666666667,provenance,0.09046989588177135,59.96203486384286,176.05520816109168,scope,13b,360,0.5222222222222223,0.005555555555555556,development
0.7111111111111111,provenance,0.12721277437635226,57.42460660292926,166.1548778670193,scope,13b,270,0.5740740740740741,0.022222222222222223,prospective
0.3761904761904762,dataset,-0.028389598780130365,81.14232440039657,227.56142189519736,random,13b,210,0.18095238095238095,0.014285714285714285,mmstar
0.8888888888888888,dataset,0.027937673586170608,55.591852403481795,150.3275891239658,random,13b,72,0.625,0.027777777777777776,pope_adversarial
0.927536231884058,dataset,-0.04188967447449721,57.120600112918495,165.20161492761858,random,13b,69,0.6086956521739131,0.0,pope_popular
0.8840579710144928,dataset,-0.05094921609775138,57.08871633382811,161.35672426173477,random,13b,69,0.5217391304347826,0.0,pope_random
1.0,dataset,-0.05294368840372776,61.98627313981737,172.27296760954363,random,13b,105,0.9238095238095239,0.0380952380952381,visual_counterfact_color
0.8380952380952381,dataset,-0.08403336344957024,73.28650549377714,209.82189496142036,random,13b,105,0.8095238095238095,0.0,visual_counterfact_size
0.7388888888888889,provenance,-0.02847243104608599,67.80347290062905,188.20657871910953,random,13b,360,0.5222222222222223,0.005555555555555556,development
0.7222222222222222,provenance,-0.05363604939510247,69.32346608985354,198.18371351871906,random,13b,270,0.5740740740740741,0.025925925925925925,prospective
